"Deity","Divine tradition","Element","Potential class name","Proposed playstyle"
"Haeren","River-Mother","Sul","Dawnkeeper","Record the exposed front line, then reveal illusions and hidden effects around them; protect remembered allies by making threats legible before they act."
"Haeren","River-Mother","Vel","Green Matron","Record allies and establish a defended refuge; growth sustains your own protective buffs while the party fights around that refuge."
"Haeren","River-Mother","Luth","River-Mother","Record the party's most pressured ally and restore their Breath with water; combine active replenishment with the Ledger's later, once-per-name refund."
"Haeren","River-Mother","Tham","Cairnkeeper","Record vulnerable allies and build cover around their routes; anchor Aftertones at defensible positions where the party can survive together."
"Haeren","River-Mother","Vekh","Night Nurse","Record an endangered ally and conceal the signatures of your support casting; use darkness to obscure the party's recovery setup."
"Haeren","River-Mother","Mozh","Compost Shepherd","Record allies before danger, then convert available corpses or expendable objects into Breath; make deliberate choices about what the party leaves behind."
"Haeren","River-Mother","Khash","Ash Mother","Record allies and use controlled fire to keep pursuers away; consume Aftertones for a rescue-opening burst while avoiding the refuge's flammable structures."
"Haeren","River-Mother","Zhem","Quiet Witness","Record threatened allies, then cancel enemy buffs and sustained effects that endanger them; protect the party through subtraction rather than elemental damage."
"Haeren","River-Mother","Zhur","Raincaller","Record the ally holding the line and use shock pressure to interrupt an enemy advance; preserve the remembered party while the storm disrupts its attackers."
"Kero","Ironbrand","Sul","Sunbrand","Take pressure to bank Scars, reveal the enemy's real defenses, then spend a guaranteed-hit window on the threat that was hiding behind deception."
"Kero","Ironbrand","Vel","Thornbrand","Sustain your own defensive growth buffs through prolonged contact; bank Scars from actual HP loss and spend them when the enemy commits."
"Kero","Ironbrand","Luth","Tidebound","Trade HP for Scars while water restores casting Breath; separate the health you risk from the casting resource you replenish."
"Kero","Ironbrand","Tham","Ironbrand","Use stone cover to control how much punishment you accept; emerge with banked Scars for a guaranteed hit, then rebuild a defensible position."
"Kero","Ironbrand","Vekh","Blackbrand","Bank Scars in an exposed exchange, then conceal your casting signatures; force the opponent to defend against a counterattack whose preparation is obscured."
"Kero","Ironbrand","Mozh","Rotforged","Accept attrition to build Scars, apply decay to durable targets, and convert expendable remains into Breath to keep the assault supplied."
"Kero","Ironbrand","Khash","Cinderbrand","Bank Scars through close combat, then guarantee the hit of a fire technique and consume an Aftertone for burst power; fizzle remains a separate risk."
"Kero","Ironbrand","Zhem","Unbroken","Strip an enemy's buffs with silence, then spend Scars on a mundane counterattack; remove the protection that would blunt your earned hit."
"Kero","Ironbrand","Zhur","Thunderbrand","Bank Scars while contesting a chokepoint, then guarantee a lightning hit; shock controls the exchange without relying on the Instability die."
